jaar,leeftijd_0_65,leeftijd_65_80,leeftijd_80_plus
1995,26.183,47.807,61.685
1996,26.388,48.385,62.788
1997,25.715,47.485,62.583
1998,26.031,47.865,63.586
1999,26.557,48.729,65.201
2000,26.711,47.591,66.225
2001,26.667,47.069,66.641
2002,26.9,46.8,68.655
2003,26.863,45.463,69.61
2004,26.054,43.405,67.094
2005,25.306,42.916,68.18
2006,24.978,41.63,68.764
2007,24.447,40.827,67.748
2008,24.802,40.188,70.146
2009,24.474,39.997,69.764
2010,24.339,40.449,71.27
2011,23.611,40.131,71.999
2012,23.398,41.372,76.043
2013,22.761,41.648,76.836
2014,22.184,41.309,75.73
2015,22.137,43.665,81.332
2016,22.287,44.361,82.349
2017,21.694,44.425,84.095
2018,21.568,45.975,85.82
2019,20.935,45.94,85.01
2020,21.683,51.259,95.736
2021,22.662,53.582,94.728
2022,21.99,52.983,95.139
2023,21.344,52.932,95.245
2024,21.175,53.282,97.594
