jaar,overledenen_x10000,overledenen_relatief,overledenen_gestandaardiseerd
1950,7.593,7.5,13.2
1951,7.756,7.6,13.1
1952,7.635,7.4,12.5
1953,8.09,7.7,12.9
1954,7.962,7.5,12.4
1955,8.171,7.6,12.4
1956,8.481,7.8,12.5
1957,8.296,7.5,11.9
1958,8.449,7.6,11.8
1959,8.607,7.6,11.7
1960,8.783,7.6,11.6
1961,8.832,7.6,11.3
1962,9.397,8.0,11.7
1963,9.573,8.0,11.7
1964,9.344,7.7,11.1
1965,9.803,8.0,11.4
1966,10.052,8.1,11.4
1967,9.979,7.9,11.0
1968,10.499,8.2,11.3
1969,10.762,8.4,11.3
1970,10.962,8.4,11.3
1971,11.024,8.4,11.1
1972,11.358,8.5,11.3
1973,11.068,8.2,10.8
1974,10.925,8.1,10.4
1975,11.374,8.3,10.6
1976,11.445,8.3,10.4
1977,11.009,7.9,9.8
1978,11.442,8.2,9.9
1979,11.257,8.0,9.5
1980,11.428,8.1,9.4
1981,11.552,8.1,9.2
1982,11.726,8.2,9.2
1983,11.776,8.2,9.1
1984,11.981,8.3,9.0
1985,12.27,8.5,9.0
1986,12.531,8.6,9.1
1987,12.22,8.3,8.7
1988,12.416,8.4,8.6
1989,12.891,8.7,8.8
1990,12.882,8.6,8.6
1991,12.996,8.6,8.5
1992,12.989,8.6,8.4
1993,13.78,9.0,8.8
1994,13.347,8.7,8.4
1995,13.568,8.8,8.4
1996,13.756,8.9,8.4
1997,13.578,8.7,8.1
1998,13.748,8.8,8.1
1999,14.049,8.9,8.1
2000,14.053,8.8,8.0
2001,14.038,8.7,7.9
2002,14.236,8.8,7.9
2003,14.194,8.7,7.7
2004,13.655,8.4,7.3
2005,13.64,8.4,7.2
2006,13.537,8.3,7.0
2007,13.302,8.1,6.7
2008,13.514,8.2,6.6
2009,13.424,8.1,6.4
2010,13.606,8.2,6.4
2011,13.574,8.1,6.2
2012,14.081,8.4,6.3
2013,14.125,8.4,6.1
2014,13.922,8.3,5.9
2015,14.713,8.7,6.1
2016,14.9,8.7,6.0
2017,15.021,8.8,5.9
2018,15.336,8.9,5.9
2019,15.189,8.8,5.7
2020,16.868,9.7,6.2
2021,17.097,9.8,6.2
2022,17.011,9.6,6.1
2023,16.952,9.5,5.9
2024,17.205,9.6,6.2
