jaar,werkelijk,verwacht_pre_corona_trend,verschil
1950,13.2,10.154545454545683,3.045454545454316
1951,13.1,10.090909090909307,3.009090909090693
1952,12.5,10.027272727272944,2.472727272727056
1953,12.9,9.963636363636581,2.936363636363419
1954,12.4,9.900000000000219,2.4999999999997815
1955,12.4,9.836363636363842,2.5636363636361583
1956,12.5,9.77272727272748,2.7272727272725206
1957,11.9,9.709090909091117,2.1909090909088835
1958,11.8,9.64545454545474,2.1545454545452607
1959,11.7,9.581818181818377,2.118181818181622
1960,11.6,9.518181818182015,2.081818181817985
1961,11.3,9.454545454545652,1.8454545454543485
1962,11.7,9.390909090909275,2.309090909090724
1963,11.7,9.327272727272913,2.3727272727270865
1964,11.1,9.26363636363655,1.8363636363634495
1965,11.4,9.200000000000173,2.199999999999827
1966,11.4,9.13636363636381,2.2636363636361896
1967,11.0,9.072727272727448,1.9272727272725518
1968,11.3,9.009090909091086,2.290909090908915
1969,11.3,8.945454545454709,2.354545454545292
1970,11.3,8.881818181818346,2.4181818181816546
1971,11.1,8.818181818181984,2.281818181818016
1972,11.3,8.754545454545607,2.545454545454394
1973,10.8,8.690909090909244,2.1090909090907566
1974,10.4,8.627272727272882,1.7727272727271188
1975,10.6,8.563636363636519,2.0363636363634807
1976,10.4,8.500000000000142,1.8999999999998582
1977,9.8,8.43636363636378,1.3636363636362212
1978,9.9,8.372727272727417,1.5272727272725835
1979,9.5,8.30909090909104,1.19090909090896
1980,9.4,8.245454545454677,1.1545454545453229
1981,9.2,8.181818181818315,1.0181818181816844
1982,9.2,8.118181818181952,1.081818181818047
1983,9.1,8.054545454545575,1.0454545454544242
1984,9.0,7.990909090909213,1.0090909090907871
1985,9.0,7.92727272727285,1.0727272727271497
1986,9.1,7.8636363636364734,1.2363636363635262
1987,8.7,7.800000000000111,0.8999999999998884
1988,8.6,7.736363636363748,0.8636363636362514
1989,8.8,7.672727272727386,1.127272727272615
1990,8.6,7.609090909091009,0.9909090909089908
1991,8.5,7.545454545454646,0.9545454545453538
1992,8.4,7.481818181818284,0.9181818181817167
1993,8.8,7.418181818181921,1.3818181818180797
1994,8.4,7.354545454545544,1.0454545454544562
1995,8.4,7.290909090909182,1.1090909090908188
1996,8.4,7.227272727272819,1.1727272727271814
1997,8.1,7.163636363636442,0.9363636363635575
1998,8.1,7.10000000000008,0.9999999999999201
1999,8.1,7.036363636363717,1.0636363636362827
2000,8.0,6.972727272727354,1.0272727272726456
2001,7.9,6.909090909090978,0.9909090909090228
2002,7.9,6.845454545454615,1.0545454545453854
2003,7.7,6.781818181818252,0.9181818181817478
2004,7.3,6.7181818181818755,0.5818181818181243
2005,7.2,6.654545454545513,0.5454545454544872
2006,7.0,6.59090909090915,0.40909090909084966
2007,6.7,6.527272727272788,0.17272727272721244
2008,6.6,6.463636363636411,0.13636363636358872
2009,6.4,6.400000000000048,-4.796163466380676e-14
2010,6.4,6.336363636363686,0.06363636363631464
2011,6.2,6.272727272727309,-0.07272727272730872
2012,6.3,6.209090909090946,0.09090909090905352
2013,6.1,6.145454545454584,-0.04545454545458405
2014,5.9,6.081818181818221,-0.18181818181822074
2015,6.1,6.0181818181818585,0.08181818181814116
2016,6.0,5.954545454545496,0.045454545454504114
2017,5.9,5.890909090909105,0.009090909090895494
2018,5.9,5.827272727272742,0.0727272727272581
2019,5.7,5.76363636363638,-0.06363636363637948
2020,6.2,5.700000000000017,0.4999999999999831
2021,6.2,5.6363636363636545,0.5636363636363457
2022,6.1,5.572727272727292,0.5272727272727078
2023,5.9,5.509090909090929,0.3909090909090711
2024,6.2,5.445454545454538,0.754545454545462
