jaar,mannen,vrouwen
1995,74.6,80.36
1996,74.66,80.35
1997,75.16,80.55
1998,75.19,80.69
1999,75.34,80.45
2000,75.54,80.58
2001,75.8,80.71
2002,75.99,80.69
2003,76.24,80.93
2004,76.87,81.44
2005,77.19,81.6
2006,77.63,81.89
2007,78.01,82.31
2008,78.32,82.28
2009,78.53,82.65
2010,78.77,82.72
2011,79.18,82.85
2012,79.14,82.82
2013,79.41,83.04
2014,79.87,83.29
2015,79.73,83.13
2016,79.88,83.13
2017,80.06,83.32
2018,80.16,83.33
2019,80.46,83.56
2020,79.67,83.08
2021,79.68,82.99
2022,80.1,83.09
2023,80.31,83.33
2024,80.53,83.28
