land,jaar_2023,eu27_gemiddelde
Spanje,84.0,81.5
Italie,83.8,81.5
Malta,83.6,81.5
Zweden,83.4,81.5
Luxemburg,83.4,81.5
Frankrijk,83.1,81.5
Ierland,82.6,81.5
Belgie,82.5,81.5
Cyprus,82.5,81.5
Portugal,82.4,81.5
Nederland,82.0,81.5
Slovenie,82.0,81.5
Denemarken,81.9,81.5
Finland,81.7,81.5
Oostenrijk,81.6,81.5
Griekenland,81.6,81.5
Duitsland,81.2,81.5
Tsjechie,80.0,81.5
Estland,78.8,81.5
Kroatie,78.6,81.5
Polen,78.6,81.5
Slowakije,78.1,81.5
Litouwen,77.3,81.5
Hongarije,76.9,81.5
Roemenie,76.6,81.5
Letland,75.9,81.5
Bulgarije,75.8,81.5
