"jaar","werkelijk","verwacht_pre_corona_trend","verschil"
1950,13.2,10.1545454545453,3.04545454545471
1951,13.1,10.0909090909089,3.00909090909106
1952,12.5,10.0272727272726,2.47272727272743
1953,12.9,9.96363636363621,2.93636363636379
1954,12.4,9.89999999999985,2.50000000000015
1955,12.4,9.83636363636349,2.56363636363651
1956,12.5,9.77272727272712,2.72727272727288
1957,11.9,9.70909090909076,2.19090909090924
1958,11.8,9.6454545454544,2.1545454545456
1959,11.7,9.58181818181804,2.11818181818196
1960,11.6,9.51818181818167,2.08181818181833
1961,11.3,9.45454545454533,1.84545454545468
1962,11.7,9.39090909090896,2.30909090909104
1963,11.7,9.3272727272726,2.3727272727274
1964,11.1,9.26363636363624,1.83636363636376
1965,11.4,9.19999999999987,2.20000000000013
1966,11.4,9.13636363636351,2.26363636363649
1967,11,9.07272727272715,1.92727272727285
1968,11.3,9.00909090909079,2.29090909090921
1969,11.3,8.94545454545442,2.35454545454558
1970,11.3,8.88181818181806,2.41818181818194
1971,11.1,8.8181818181817,2.2818181818183
1972,11.3,8.75454545454535,2.54545454545465
1973,10.8,8.69090909090899,2.10909090909101
1974,10.4,8.62727272727263,1.77272727272737
1975,10.6,8.56363636363626,2.03636363636374
1976,10.4,8.4999999999999,1.9000000000001
1977,9.8,8.43636363636354,1.36363636363646
1978,9.9,8.37272727272718,1.52727272727283
1979,9.5,8.30909090909081,1.19090909090919
1980,9.4,8.24545454545445,1.15454545454555
1981,9.2,8.18181818181809,1.01818181818191
1982,9.2,8.11818181818174,1.08181818181826
1983,9.1,8.05454545454538,1.04545454545462
1984,9,7.99090909090901,1.00909090909099
1985,9,7.92727272727265,1.07272727272735
1986,9.1,7.86363636363629,1.23636363636371
1987,8.7,7.79999999999993,0.900000000000073
1988,8.6,7.73636363636356,0.863636363636436
1989,8.8,7.6727272727272,1.1272727272728
1990,8.6,7.60909090909084,0.990909090909161
1991,8.5,7.54545454545448,0.954545454545524
1992,8.4,7.48181818181813,0.918181818181873
1993,8.8,7.41818181818176,1.38181818181824
1994,8.4,7.3545454545454,1.0454545454546
1995,8.4,7.29090909090904,1.10909090909096
1996,8.4,7.22727272727268,1.17272727272732
1997,8.1,7.16363636363631,0.936363636363685
1998,8.1,7.09999999999995,1.00000000000005
1999,8.1,7.03636363636359,1.06363636363641
2000,8,6.97272727272723,1.02727272727277
2001,7.9,6.90909090909086,0.990909090909136
2002,7.9,6.84545454545452,1.05454545454548
2003,7.7,6.78181818181815,0.918181818181847
2004,7.3,6.71818181818179,0.58181818181821
2005,7.2,6.65454545454543,0.545454545454573
2006,7,6.59090909090907,0.409090909090935
2007,6.7,6.5272727272727,0.172727272727298
2008,6.6,6.46363636363634,0.13636363636366
2009,6.4,6.39999999999998,2.30926389122033e-14
2010,6.4,6.33636363636361,0.0636363636363857
2011,6.2,6.27272727272725,-0.0727272727272519
2012,6.3,6.20909090909089,0.0909090909091104
2013,6.1,6.14545454545453,-0.0454545454545272
2014,5.9,6.08181818181816,-0.181818181818164
2015,6.1,6.0181818181818,0.081818181818198
2016,6,5.95454545454544,0.045454545454561
2017,5.9,5.89090909090908,0.00909090909092392
2018,5.9,5.82727272727274,0.0727272727272581
2019,5.7,5.76363636363638,-0.0636363636363795
2020,6.2,5.70000000000002,0.499999999999983
2021,6.2,5.63636363636365,0.563636363636346
2022,6.1,5.57272727272729,0.527272727272708
2023,5.9,5.50909090909093,0.390909090909071
2024,6.2,5.44545454545457,0.754545454545434
