task_id,type,duration_min,duration_hours
T1,Technical,34,0.5666666666666667
T2,General,17,0.2833333333333333
T3,General,14,0.23333333333333334
T4,General,11,0.18333333333333332
T5,Academic,33,0.55
T6,General,18,0.3
T7,Financial,30,0.5
T8,General,14,0.23333333333333334
T9,Academic,40,0.6666666666666666
T10,General,10,0.16666666666666666
T11,Financial,47,0.7833333333333333
T12,Financial,25,0.4166666666666667
T13,Financial,42,0.7
T14,General,16,0.26666666666666666
T15,Academic,46,0.7666666666666667
T16,General,14,0.23333333333333334
T17,Financial,45,0.75
T18,General,12,0.2
T19,Academic,42,0.7
T20,General,15,0.25
T21,General,15,0.25
T22,General,14,0.23333333333333334
T23,General,16,0.26666666666666666
T24,Technical,35,0.5833333333333334
T25,General,20,0.3333333333333333
T26,Technical,31,0.5166666666666667
T27,Technical,41,0.6833333333333333
T28,General,12,0.2
T29,Technical,40,0.6666666666666666
T30,General,14,0.23333333333333334
T31,Technical,31,0.5166666666666667
T32,General,17,0.2833333333333333
T33,Financial,39,0.65
T34,General,16,0.26666666666666666
T35,General,16,0.26666666666666666
T36,Technical,42,0.7
T37,Financial,26,0.43333333333333335
T38,Financial,45,0.75
T39,Academic,46,0.7666666666666667
T40,Technical,37,0.6166666666666667
T41,Technical,38,0.6333333333333333
T42,Academic,37,0.6166666666666667
T43,Technical,41,0.6833333333333333
T44,General,13,0.21666666666666667
T45,General,18,0.3
T46,General,12,0.2
T47,General,16,0.26666666666666666
T48,General,11,0.18333333333333332
T49,General,19,0.31666666666666665
T50,Academic,53,0.8833333333333333
T51,Technical,42,0.7
T52,Academic,45,0.75
T53,Academic,56,0.9333333333333333
T54,Academic,50,0.8333333333333334
T55,General,19,0.31666666666666665
T56,General,18,0.3
T57,General,18,0.3
T58,General,18,0.3
T59,General,17,0.2833333333333333
T60,Academic,45,0.75
T61,Technical,33,0.55
T62,Academic,47,0.7833333333333333
T63,General,13,0.21666666666666667
T64,Academic,52,0.8666666666666667
T65,General,12,0.2
T66,General,19,0.31666666666666665
T67,Academic,32,0.5333333333333333
T68,Financial,49,0.8166666666666667
T69,Financial,23,0.38333333333333336
T70,Financial,47,0.7833333333333333
